Timestamp(ms),Current(uA),D0-D7
721.17,13913.895,00000000
721.18,14103.027,00000000
721.19,13913.895,00000000
721.2,14103.027,00000000
721.21,14245.006,00000000
721.22,14245.006,00000000
721.23,14103.027,00000000
721.24,13913.895,00000000
721.25,14103.027,00000000
721.26,14055.726,00000000
721.27,13961.159,00000000
721.28,14008.437,00000000
721.29,14103.027,00000000
721.3,14245.006,00000000
721.31,14055.726,00000000
721.32,14150.341,00000000
721.33,14197.667,00000000
721.34,14103.027,00000000
721.35,14150.341,00000000
721.36,14103.027,00000000
721.37,14292.356,00000000
721.38,14150.341,00000000
721.39,13913.895,00000000
721.4,13961.159,00000000
721.41,13961.159,00000000
721.42,14055.726,00000000
721.43,13866.643,00000000
721.44,13866.643,00000000
721.45,14055.726,00000000
721.46,14481.882,00000000
721.47,14434.482,00000000
721.48,14292.356,00000000
721.49,14197.667,00000000
721.5,14008.437,00000000
721.51,14055.726,00000000
721.52,14008.437,00000000
721.53,14292.356,00000000
721.54,14150.341,00000000
721.55,14055.726,00000000
721.56,13819.402,00000000
721.57,13913.895,00000000
721.58,14008.437,00000000
721.59,14245.006,00000000
721.6,14103.027,00000000
721.61,14055.726,00000000
721.62,14008.437,00000000
721.63,14197.667,00000000
721.64,14103.027,00000000
721.65,14150.341,00000000
721.66,14008.437,00000000
721.67,14150.341,00000000
721.68,14103.027,00000000
721.69,14103.027,00000000
721.7,13819.402,00000000
721.71,14055.726,00000000
721.72,14103.027,00000000
721.73,14292.356,00000000
721.74,14245.006,00000000
721.75,14055.726,00000000
721.76,14150.341,00000000
721.77,14150.341,00000000
721.78,14292.356,00000000
721.79,14245.006,00000000
721.8,14150.341,00000000
721.81,14008.437,00000000
721.82,14008.437,00000000
721.83,14245.006,00000000
721.84,14055.726,00000000
721.85,14103.027,00000000
721.86,14008.437,00000000
721.87,14008.437,00000000
721.88,14245.006,00000000
721.89,14150.341,00000000
721.9,14150.341,00000000
721.91,14150.341,00000000
721.92,13961.159,00000000
721.93,14103.027,00000000
721.94,14150.341,00000000
721.95,14197.667,00000000
721.96,14197.667,00000000
721.97,14197.667,00000000
721.98,14197.667,00000000
721.99,14245.006,00000000
722,13866.643,00000000
722.01,13819.402,00000000
722.02,14055.726,00000000
722.03,14055.726,00000000
722.04,14245.006,00000000
722.05,14055.726,00000000
722.06,13961.159,00000000
722.07,14055.726,00000000
722.08,14055.726,00000000
722.09,13961.159,00000000
722.1,13913.895,00000000
722.11,14197.667,00000000
722.12,14245.006,00000000
722.13,14103.027,00000000
722.14,14055.726,00000000
722.15,14245.006,00000000
722.16,14150.341,00000000
722.17,14103.027,00000000
722.18,14103.027,00000000
722.19,13913.895,00000000
722.2,14055.726,00000000
722.21,14055.726,00000000
722.22,14103.027,00000000
722.23,14103.027,00000000
722.24,14008.437,00000000
722.25,14387.095,00000000
722.26,14245.006,00000000
722.27,14197.667,00000000
722.28,14245.006,00000000
722.29,14339.720,00000000
722.3,14150.341,00000000
722.31,13866.643,00000000
722.32,14339.720,00000000
722.33,14245.006,00000000
722.34,14197.667,00000000
722.35,14103.027,00000000
722.36,14008.437,00000000
722.37,14197.667,00000000
722.38,14434.482,00000000
722.39,13913.895,00000000
722.4,14055.726,00000000
722.41,14008.437,00000000
722.42,13819.402,00000000
722.43,13913.895,00000000
722.44,13913.895,00000000
722.45,13819.402,00000000
722.46,13677.756,00000000
722.47,13866.643,00000000
722.48,14008.437,00000000
722.49,14103.027,00000000
722.5,14008.437,00000000
722.51,13913.895,00000000
722.52,13772.175,00000000
722.53,13819.402,00000000
722.54,14103.027,00000000
722.55,14197.667,00000000
722.56,14008.437,00000000
722.57,14150.341,00000000
722.58,14008.437,00000000
722.59,14245.006,00000000
722.6,14434.482,00000000
722.61,14529.294,00000000
722.62,14197.667,00000000
722.63,14245.006,00000000
722.64,14576.719,00000000
722.65,14150.341,00000000
722.66,13961.159,00000000
722.67,14103.027,00000000
722.68,14150.341,00000000
722.69,14292.356,00000000
722.7,14197.667,00000000
722.71,14055.726,00000000
722.72,14103.027,00000000
722.73,14055.726,00000000
722.74,14197.667,00000000
722.75,14008.437,00000000
722.76,14008.437,00000000
722.77,14008.437,00000000
722.78,14055.726,00000000
722.79,13819.402,00000000
722.8,14150.341,00000000
722.81,14103.027,00000000
722.82,14150.341,00000000
722.83,14055.726,00000000
722.84,14055.726,00000000
722.85,14197.667,00000000
722.86,14103.027,00000000
722.87,14150.341,00000000
722.88,14150.341,00000000
722.89,14197.667,00000000
722.9,14387.095,00000000
722.91,14387.095,00000000
722.92,14150.341,00000000
722.93,14055.726,00000000
722.94,14055.726,00000000
722.95,14008.437,00000000
722.96,14150.341,00000000
722.97,14103.027,00000000
722.98,14150.341,00000000
722.99,14008.437,00000000
723,14008.437,00000000
723.01,14103.027,00000000
723.02,14245.006,00000000
723.03,14245.006,00000000
723.04,14197.667,00000000
723.05,14197.667,00000000
723.06,14197.667,00000000
723.07,14150.341,00000000
723.08,14245.006,00000000
723.09,14103.027,00000000
723.1,14245.006,00000000
723.11,14245.006,00000000
723.12,14055.726,00000000
723.13,14008.437,00000000
723.14,14055.726,00000000
723.15,14197.667,00000000
723.16,14434.482,00000000
723.17,14150.341,00000000
723.18,14103.027,00000000
723.19,13961.159,00000000
723.2,14008.437,00000000
723.21,14197.667,00000000
723.22,14434.482,00000000
723.23,14245.006,00000000
723.24,14103.027,00000000
723.25,14245.006,00000000
723.26,14055.726,00000000
723.27,14245.006,00000000
723.28,14103.027,00000000
723.29,14103.027,00000000
723.3,14103.027,00000000
723.31,14245.006,00000000
723.32,14150.341,00000000
723.33,14197.667,00000000
723.34,14339.720,00000000
723.35,14245.006,00000000
723.36,14150.341,00000000
723.37,13913.895,00000000
723.38,14197.667,00000000
723.39,14103.027,00000000
723.4,14008.437,00000000
723.41,14055.726,00000000
723.42,13961.159,00000000
723.43,14008.437,00000000
723.44,14150.341,00000000
723.45,14292.356,00000000
723.46,14245.006,00000000
723.47,14197.667,00000000
723.48,14292.356,00000000
723.49,14197.667,00000000
723.5,14150.341,00000000
723.51,14150.341,00000000
723.52,14008.437,00000000
723.53,14197.667,00000000
723.54,14434.482,00000000
723.55,14150.341,00000000
723.56,14197.667,00000000
723.57,14292.356,00000000
723.58,14055.726,00000000
723.59,13913.895,00000000
723.6,14008.437,00000000
723.61,14055.726,00000000
723.62,14150.341,00000000
723.63,14387.095,00000000
723.64,14339.720,00000000
723.65,14339.720,00000000
723.66,14150.341,00000000
723.67,14387.095,00000000
723.68,14055.726,00000000
723.69,14245.006,00000000
723.7,14245.006,00000000
723.71,13819.402,00000000
723.72,13819.402,00000000
723.73,14055.726,00000000
723.74,14245.006,00000000
723.75,14245.006,00000000
723.76,14103.027,00000000
723.77,14008.437,00000000
723.78,14292.356,00000000
723.79,14055.726,00000000
723.8,13866.643,00000000
723.81,14197.667,00000000
723.82,14197.667,00000000
723.83,14387.095,00000000
723.84,14150.341,00000000
723.85,14008.437,00000000
723.86,14150.341,00000000
723.87,14197.667,00000000
723.88,14055.726,00000000
723.89,14150.341,00000000
723.9,14150.341,00000000
723.91,14197.667,00000000
723.92,14103.027,00000000
723.93,13913.895,00000000
723.94,13724.959,00000000
723.95,13913.895,00000000
723.96,13913.895,00000000
723.97,13961.159,00000000
723.98,13961.159,00000000
723.99,13724.959,00000000
724,14103.027,00000000
724.01,14150.341,00000000
724.02,14339.720,00000000
724.03,14197.667,00000000
724.04,13819.402,00000000
724.05,13866.643,00000000
724.06,13866.643,00000000
724.07,13866.643,00000000
724.08,14150.341,00000000
724.09,14150.341,00000000
724.1,14197.667,00000000
724.11,14055.726,00000000
724.12,13819.402,00000000
724.13,13819.402,00000000
724.14,13819.402,00000000
724.15,13866.643,00000000
724.16,13913.895,00000000
724.17,13913.895,00000000
724.18,13961.159,00000000
724.19,14055.726,00000000
724.2,14008.437,00000000
724.21,13866.643,00000000
724.22,13866.643,00000000
724.23,13819.402,00000000
724.24,13913.895,00000000
724.25,13913.895,00000000
724.26,14008.437,00000000
724.27,14150.341,00000000
724.28,14197.667,00000000
724.29,14197.667,00000000
724.3,14292.356,00000000
724.31,14245.006,00000000
724.32,14150.341,00000000
724.33,13913.895,00000000
724.34,13913.895,00000000
724.35,14055.726,00000000
724.36,14103.027,00000000
724.37,13913.895,00000000
724.38,14245.006,00000000
724.39,14103.027,00000000
724.4,14103.027,00000000
724.41,14008.437,00000000
724.42,14197.667,00000000
724.43,14008.437,00000000
724.44,14055.726,00000000
724.45,14008.437,00000000
724.46,14387.095,00000000
724.47,14387.095,00000000
724.48,14150.341,00000000
724.49,14103.027,00000000
724.5,14103.027,00000000
724.51,14245.006,00000000
724.52,14387.095,00000000
724.53,14245.006,00000000
724.54,14245.006,00000000
724.55,14339.720,00000000
724.56,14008.437,00000000
724.57,14197.667,00000000
724.58,14008.437,00000000
724.59,14150.341,00000000
724.6,14103.027,00000000
724.61,14008.437,00000000
724.62,14292.356,00000000
724.63,14292.356,00000000
724.64,14055.726,00000000
724.65,14197.667,00000000
724.66,14055.726,00000000
724.67,13913.895,00000000
724.68,14245.006,00000000
724.69,14245.006,00000000
724.7,14292.356,00000000
724.71,14292.356,00000000
724.72,14292.356,00000000
724.73,14292.356,00000000
724.74,14245.006,00000000
724.75,14197.667,00000000
724.76,14103.027,00000000
724.77,14103.027,00000000
724.78,14339.720,00000000
724.79,14245.006,00000000
724.8,14245.006,00000000
724.81,14008.437,00000000
724.82,14197.667,00000000
724.83,13961.159,00000000
724.84,14150.341,00000000
724.85,13961.159,00000000
724.86,14197.667,00000000
724.87,14387.095,00000000
724.88,14339.720,00000000
724.89,14245.006,00000000
724.9,14245.006,00000000
724.91,14387.095,00000000
724.92,14292.356,00000000
724.93,14150.341,00000000
724.94,14008.437,00000000
724.95,14055.726,00000000
724.96,13866.643,00000000
724.97,14103.027,00000000
724.98,14387.095,00000000
724.99,14150.341,00000000
725,14150.341,00000000
725.01,14197.667,00000000
725.02,14103.027,00000000
725.03,13913.895,00000000
725.04,14150.341,00000000
725.05,14245.006,00000000
725.06,14292.356,00000000
725.07,14055.726,00000000
725.08,14150.341,00000000
725.09,14434.482,00000000
725.1,14197.667,00000000
725.11,14150.341,00000000
725.12,14103.027,00000000
725.13,13961.159,00000000
725.14,13913.895,00000000
725.15,14008.437,00000000
725.16,14055.726,00000000
725.17,14245.006,00000000
725.18,14055.726,00000000
725.19,14197.667,00000000
725.2,14434.482,00000000
725.21,14150.341,00000000
725.22,14150.341,00000000
725.23,14292.356,00000000
725.24,14197.667,00000000
725.25,14150.341,00000000
725.26,14103.027,00000000
725.27,14292.356,00000000
725.28,14292.356,00000000
725.29,14103.027,00000000
725.3,14055.726,00000000
725.31,13961.159,00000000
725.32,14008.437,00000000
725.33,13913.895,00000000
725.34,14103.027,00000000
725.35,14292.356,00000000
725.36,14481.882,00000000
725.37,14434.482,00000000
725.38,14292.356,00000000
725.39,14150.341,00000000
725.4,14150.341,00000000
725.41,14150.341,00000000
725.42,14055.726,00000000
725.43,14150.341,00000000
725.44,14150.341,00000000
725.45,14292.356,00000000
725.46,14434.482,00000000
725.47,14292.356,00000000
725.48,14434.482,00000000
725.49,14245.006,00000000
725.5,14150.341,00000000
725.51,13961.159,00000000
725.52,14150.341,00000000
725.53,14197.667,00000000
725.54,14055.726,00000000
725.55,13913.895,00000000
725.56,14008.437,00000000
725.57,14008.437,00000000
725.58,14055.726,00000000
725.59,14103.027,00000000
725.6,14245.006,00000000
725.61,14150.341,00000000
725.62,14245.006,00000000
725.63,14055.726,00000000
725.64,14245.006,00000000
725.65,14245.006,00000000
725.66,14103.027,00000000
725.67,14103.027,00000000
725.68,14245.006,00000000
725.69,14292.356,00000000
725.7,14150.341,00000000
725.71,14245.006,00000000
725.72,14339.720,00000000
725.73,14245.006,00000000
725.74,14150.341,00000000
725.75,14055.726,00000000
725.76,14103.027,00000000
725.77,14150.341,00000000
725.78,14339.720,00000000
725.79,14150.341,00000000
725.8,13913.895,00000000
725.81,14150.341,00000000
725.82,14008.437,00000000
725.83,14055.726,00000000
725.84,14008.437,00000000
725.85,14103.027,00000000
725.86,14103.027,00000000
725.87,14197.667,00000000
725.88,14150.341,00000000
725.89,14055.726,00000000
725.9,13819.402,00000000
725.91,13913.895,00000000
725.92,14387.095,00000000
725.93,14339.720,00000000
725.94,14245.006,00000000
725.95,14197.667,00000000
725.96,14150.341,00000000
725.97,14292.356,00000000
725.98,14245.006,00000000
725.99,14197.667,00000000
